conv_num,shape_num,shape_name,time
1,6,pentagon,7.006524
1,6,pentagon,13.386357
1,5,triangle,18.620142
1,5,triangle,24.548027
1,5,triangle,28.746389
1,8,moon,33.871024
1,8,moon,39.397006
4,1,circle,67.566144
4,1,circle,75.746974
3,6,pentagon,76.360788
2,7,trapezoid,80.047431
3,6,pentagon,82.915529
4,1,circle,84.359656
2,4,star,85.782344
4,8,moon,107.183154
2,5,triangle,111.279018
2,5,triangle,115.068008
2,5,triangle,120.086848
2,6,pentagon,131.781011
2,7,trapezoid,136.072929
