seed,folder,units,orders,totes,solver_status,solver_message,objective_metric,objective_value_seconds,makespan_seconds,sum_completion_seconds,first_6_elapsed_seconds,first_6_sum_completion_seconds,runtime_seconds
100,G:\My Drive\LAPTOP-PFCS26O1\Desktop\School\4B\MSE 433\MSE_433_Module_3\MILP\seed_100,36,11,12,1.0,Time limit reached. (HiGHS Status 13: Time limit reached),makespan,38.0,38.0,329.0,36.0,151.0,30.149
101,G:\My Drive\LAPTOP-PFCS26O1\Desktop\School\4B\MSE 433\MSE_433_Module_3\MILP\seed_101,52,14,13,1.0,Time limit reached. (HiGHS Status 13: Time limit reached),makespan,57.0,57.0,569.0,56.0,190.0,30.218
102,G:\My Drive\LAPTOP-PFCS26O1\Desktop\School\4B\MSE 433\MSE_433_Module_3\MILP\seed_102,60,11,11,,"ERROR: RuntimeError: No feasible solution found, status 1, message Time limit reached. (HiGHS Status 13: model_status is Time limit reached; primal_status is None)",makespan,,,,,,30.145
103,G:\My Drive\LAPTOP-PFCS26O1\Desktop\School\4B\MSE 433\MSE_433_Module_3\MILP\seed_103,53,15,13,,"ERROR: RuntimeError: No feasible solution found, status 1, message Time limit reached. (HiGHS Status 13: model_status is Time limit reached; primal_status is None)",makespan,,,,,,30.139
104,G:\My Drive\LAPTOP-PFCS26O1\Desktop\School\4B\MSE 433\MSE_433_Module_3\MILP\seed_104,30,10,9,1.0,Time limit reached. (HiGHS Status 13: Time limit reached),makespan,37.0,37.0,210.0,34.0,99.0,30.092
105,G:\My Drive\LAPTOP-PFCS26O1\Desktop\School\4B\MSE 433\MSE_433_Module_3\MILP\seed_105,66,14,14,,"ERROR: RuntimeError: No feasible solution found, status 1, message Time limit reached. (HiGHS Status 13: model_status is Time limit reached; primal_status is None)",makespan,,,,,,30.18
106,G:\My Drive\LAPTOP-PFCS26O1\Desktop\School\4B\MSE 433\MSE_433_Module_3\MILP\seed_106,52,15,12,,"ERROR: RuntimeError: No feasible solution found, status 1, message Time limit reached. (HiGHS Status 13: model_status is Time limit reached; primal_status is None)",makespan,,,,,,30.135
107,G:\My Drive\LAPTOP-PFCS26O1\Desktop\School\4B\MSE 433\MSE_433_Module_3\MILP\seed_107,33,11,10,,"ERROR: RuntimeError: No feasible solution found, status 1, message Time limit reached. (HiGHS Status 13: model_status is Time limit reached; primal_status is None)",makespan,,,,,,30.067
108,G:\My Drive\LAPTOP-PFCS26O1\Desktop\School\4B\MSE 433\MSE_433_Module_3\MILP\seed_108,39,11,10,,"ERROR: RuntimeError: No feasible solution found, status 1, message Time limit reached. (HiGHS Status 13: model_status is Time limit reached; primal_status is None)",makespan,,,,,,30.085
109,G:\My Drive\LAPTOP-PFCS26O1\Desktop\School\4B\MSE 433\MSE_433_Module_3\MILP\seed_109,57,12,13,,"ERROR: RuntimeError: No feasible solution found, status 1, message Time limit reached. (HiGHS Status 13: model_status is Time limit reached; primal_status is None)",makespan,,,,,,30.243
110,G:\My Drive\LAPTOP-PFCS26O1\Desktop\School\4B\MSE 433\MSE_433_Module_3\MILP\seed_110,46,13,11,,"ERROR: RuntimeError: No feasible solution found, status 1, message Time limit reached. (HiGHS Status 13: model_status is Time limit reached; primal_status is None)",makespan,,,,,,30.145
111,G:\My Drive\LAPTOP-PFCS26O1\Desktop\School\4B\MSE 433\MSE_433_Module_3\MILP\seed_111,54,11,8,,"ERROR: RuntimeError: No feasible solution found, status 1, message Time limit reached. (HiGHS Status 13: model_status is Time limit reached; primal_status is None)",makespan,,,,,,30.254
112,G:\My Drive\LAPTOP-PFCS26O1\Desktop\School\4B\MSE 433\MSE_433_Module_3\MILP\seed_112,56,13,13,,"ERROR: RuntimeError: No feasible solution found, status 1, message Time limit reached. (HiGHS Status 13: model_status is Time limit reached; primal_status is None)",makespan,,,,,,30.185
113,G:\My Drive\LAPTOP-PFCS26O1\Desktop\School\4B\MSE 433\MSE_433_Module_3\MILP\seed_113,43,10,10,1.0,Time limit reached. (HiGHS Status 13: Time limit reached),makespan,54.0,54.0,337.0,43.0,162.0,30.142
114,G:\My Drive\LAPTOP-PFCS26O1\Desktop\School\4B\MSE 433\MSE_433_Module_3\MILP\seed_114,51,11,11,,"ERROR: RuntimeError: No feasible solution found, status 1, message Time limit reached. (HiGHS Status 13: model_status is Time limit reached; primal_status is None)",makespan,,,,,,30.108
115,G:\My Drive\LAPTOP-PFCS26O1\Desktop\School\4B\MSE 433\MSE_433_Module_3\MILP\seed_115,50,12,11,,"ERROR: RuntimeError: No feasible solution found, status 1, message Time limit reached. (HiGHS Status 13: model_status is Time limit reached; primal_status is None)",makespan,,,,,,30.114
116,G:\My Drive\LAPTOP-PFCS26O1\Desktop\School\4B\MSE 433\MSE_433_Module_3\MILP\seed_116,64,15,17,,"ERROR: RuntimeError: No feasible solution found, status 1, message Time limit reached. (HiGHS Status 13: model_status is Time limit reached; primal_status is None)",makespan,,,,,,30.187
117,G:\My Drive\LAPTOP-PFCS26O1\Desktop\School\4B\MSE 433\MSE_433_Module_3\MILP\seed_117,40,11,10,1.0,Time limit reached. (HiGHS Status 13: Time limit reached),makespan,42.0,42.0,320.0,33.0,127.0,30.12
118,G:\My Drive\LAPTOP-PFCS26O1\Desktop\School\4B\MSE 433\MSE_433_Module_3\MILP\seed_118,62,15,13,1.0,Time limit reached. (HiGHS Status 13: Time limit reached),makespan,333.0,333.0,4316.0,302.0,1596.0,30.192
119,G:\My Drive\LAPTOP-PFCS26O1\Desktop\School\4B\MSE 433\MSE_433_Module_3\MILP\seed_119,37,12,12,1.0,Time limit reached. (HiGHS Status 13: Time limit reached),makespan,39.0,39.0,313.0,33.0,113.0,30.128
120,G:\My Drive\LAPTOP-PFCS26O1\Desktop\School\4B\MSE 433\MSE_433_Module_3\MILP\seed_120,61,14,13,,"ERROR: RuntimeError: No feasible solution found, status 1, message Time limit reached. (HiGHS Status 13: model_status is Time limit reached; primal_status is None)",makespan,,,,,,30.14
121,G:\My Drive\LAPTOP-PFCS26O1\Desktop\School\4B\MSE 433\MSE_433_Module_3\MILP\seed_121,37,10,8,,"ERROR: RuntimeError: No feasible solution found, status 1, message Time limit reached. (HiGHS Status 13: model_status is Time limit reached; primal_status is None)",makespan,,,,,,30.077
122,G:\My Drive\LAPTOP-PFCS26O1\Desktop\School\4B\MSE 433\MSE_433_Module_3\MILP\seed_122,52,14,11,1.0,Time limit reached. (HiGHS Status 13: Time limit reached),makespan,58.0,58.0,562.0,52.0,165.0,30.14
123,G:\My Drive\LAPTOP-PFCS26O1\Desktop\School\4B\MSE 433\MSE_433_Module_3\MILP\seed_123,42,10,12,1.0,Time limit reached. (HiGHS Status 13: Time limit reached),makespan,46.0,46.0,385.0,42.0,202.0,30.159
124,G:\My Drive\LAPTOP-PFCS26O1\Desktop\School\4B\MSE 433\MSE_433_Module_3\MILP\seed_124,46,12,9,1.0,Time limit reached. (HiGHS Status 13: Time limit reached),makespan,52.0,52.0,462.0,52.0,195.0,30.126
125,G:\My Drive\LAPTOP-PFCS26O1\Desktop\School\4B\MSE 433\MSE_433_Module_3\MILP\seed_125,39,11,14,1.0,Time limit reached. (HiGHS Status 13: Time limit reached),makespan,43.0,43.0,363.0,42.0,157.0,30.143
126,G:\My Drive\LAPTOP-PFCS26O1\Desktop\School\4B\MSE 433\MSE_433_Module_3\MILP\seed_126,49,14,13,1.0,Time limit reached. (HiGHS Status 13: Time limit reached),makespan,51.0,51.0,523.0,46.0,169.0,30.141
127,G:\My Drive\LAPTOP-PFCS26O1\Desktop\School\4B\MSE 433\MSE_433_Module_3\MILP\seed_127,43,10,10,1.0,Time limit reached. (HiGHS Status 13: Time limit reached),makespan,45.0,45.0,324.0,35.0,161.0,30.128
128,G:\My Drive\LAPTOP-PFCS26O1\Desktop\School\4B\MSE 433\MSE_433_Module_3\MILP\seed_128,41,11,12,1.0,Time limit reached. (HiGHS Status 13: Time limit reached),makespan,44.0,44.0,322.0,37.0,130.0,30.122
129,G:\My Drive\LAPTOP-PFCS26O1\Desktop\School\4B\MSE 433\MSE_433_Module_3\MILP\seed_129,59,14,13,,"ERROR: RuntimeError: No feasible solution found, status 1, message Time limit reached. (HiGHS Status 13: model_status is Time limit reached; primal_status is None)",makespan,,,,,,30.176
