objective_metric,objective_value_seconds,makespan_seconds,sum_completion_seconds,solver_status,solver_message,result_type,order,conveyor,tote,tote_sequence_pos,order_start_slot,order_start_seconds,order_completion_slot,order_completion_seconds,order_sequence_pos,start_slot,end_slot,units,slot,pick_time_seconds,item_type,unit,recirc_loops,release_time_seconds
makespan,38.0,38.0,311.0,0.0,Optimization terminated successfully. (HiGHS Status 7: Optimal),summary,,,,,,,,,,,,,,,,,,
,,,,,,order_to_conveyor,1.0,4.0,,,,,,,,,,,,,,,,
,,,,,,order_to_conveyor,2.0,1.0,,,,,,,,,,,,,,,,
,,,,,,order_to_conveyor,3.0,3.0,,,,,,,,,,,,,,,,
,,,,,,order_to_conveyor,4.0,2.0,,,,,,,,,,,,,,,,
,,,,,,order_to_conveyor,5.0,2.0,,,,,,,,,,,,,,,,
,,,,,,order_to_conveyor,6.0,4.0,,,,,,,,,,,,,,,,
,,,,,,order_to_conveyor,7.0,3.0,,,,,,,,,,,,,,,,
,,,,,,order_to_conveyor,8.0,2.0,,,,,,,,,,,,,,,,
,,,,,,order_to_conveyor,9.0,1.0,,,,,,,,,,,,,,,,
,,,,,,order_to_conveyor,10.0,3.0,,,,,,,,,,,,,,,,
,,,,,,order_to_conveyor,11.0,1.0,,,,,,,,,,,,,,,,
,,,,,,tote_sequence,,,8.0,1.0,,,,,,,,,,,,,,
,,,,,,tote_sequence,,,1.0,2.0,,,,,,,,,,,,,,
,,,,,,tote_sequence,,,4.0,3.0,,,,,,,,,,,,,,
,,,,,,tote_sequence,,,13.0,4.0,,,,,,,,,,,,,,
,,,,,,tote_sequence,,,3.0,5.0,,,,,,,,,,,,,,
,,,,,,tote_sequence,,,0.0,6.0,,,,,,,,,,,,,,
,,,,,,tote_sequence,,,10.0,7.0,,,,,,,,,,,,,,
,,,,,,tote_sequence,,,9.0,8.0,,,,,,,,,,,,,,
,,,,,,tote_sequence,,,7.0,9.0,,,,,,,,,,,,,,
,,,,,,tote_sequence,,,11.0,10.0,,,,,,,,,,,,,,
,,,,,,tote_sequence,,,12.0,11.0,,,,,,,,,,,,,,
,,,,,,tote_sequence,,,14.0,12.0,,,,,,,,,,,,,,
,,,,,,order_timing,1.0,,,,21.0,29.0,25.0,33.0,7.0,,,,,,,,,
,,,,,,order_timing,2.0,,,,12.0,31.0,36.0,38.0,8.0,,,,,,,,,
,,,,,,order_timing,3.0,,,,31.0,37.0,32.0,38.0,10.0,,,,,,,,,
,,,,,,order_timing,4.0,,,,27.0,31.0,30.0,34.0,9.0,,,,,,,,,
,,,,,,order_timing,5.0,,,,33.0,37.0,34.0,38.0,11.0,,,,,,,,,
,,,,,,order_timing,6.0,,,,8.0,16.0,11.0,19.0,4.0,,,,,,,,,
,,,,,,order_timing,7.0,,,,15.0,21.0,20.0,34.0,5.0,,,,,,,,,
,,,,,,order_timing,8.0,,,,1.0,5.0,3.0,7.0,1.0,,,,,,,,,
,,,,,,order_timing,9.0,,,,4.0,6.0,18.0,26.0,2.0,,,,,,,,,
,,,,,,order_timing,10.0,,,,7.0,13.0,10.0,16.0,3.0,,,,,,,,,
,,,,,,order_timing,11.0,,,,26.0,28.0,26.0,28.0,6.0,,,,,,,,,
,,,,,,tote_block,,,8.0,,,,,,,1.0,6.0,6.0,,,,,,
,,,,,,tote_block,,,1.0,,,,,,,7.0,11.0,5.0,,,,,,
,,,,,,tote_block,,,4.0,,,,,,,12.0,14.0,3.0,,,,,,
,,,,,,tote_block,,,13.0,,,,,,,15.0,19.0,5.0,,,,,,
,,,,,,tote_block,,,3.0,,,,,,,20.0,20.0,1.0,,,,,,
,,,,,,tote_block,,,0.0,,,,,,,21.0,25.0,5.0,,,,,,
,,,,,,tote_block,,,10.0,,,,,,,26.0,27.0,2.0,,,,,,
,,,,,,tote_block,,,9.0,,,,,,,28.0,30.0,3.0,,,,,,
,,,,,,tote_block,,,7.0,,,,,,,31.0,32.0,2.0,,,,,,
,,,,,,tote_block,,,11.0,,,,,,,33.0,33.0,1.0,,,,,,
,,,,,,tote_block,,,12.0,,,,,,,34.0,34.0,1.0,,,,,,
,,,,,,tote_block,,,14.0,,,,,,,35.0,36.0,2.0,,,,,,
,,,,,,tote_item_sequence,1.0,4.0,0.0,,,,,,,,,,21.0,29.0,3.0,0.0,0.0,
,,,,,,tote_item_sequence,1.0,4.0,0.0,,,,,,,,,,22.0,30.0,3.0,1.0,0.0,
,,,,,,tote_item_sequence,1.0,4.0,0.0,,,,,,,,,,23.0,31.0,1.0,3.0,0.0,
,,,,,,tote_item_sequence,1.0,4.0,0.0,,,,,,,,,,24.0,32.0,3.0,2.0,0.0,
,,,,,,tote_item_sequence,1.0,4.0,0.0,,,,,,,,,,25.0,33.0,1.0,4.0,0.0,
,,,,,,tote_item_sequence,10.0,3.0,1.0,,,,,,,,,,7.0,13.0,6.0,32.0,0.0,
,,,,,,tote_item_sequence,6.0,4.0,1.0,,,,,,,,,,8.0,16.0,1.0,19.0,0.0,
,,,,,,tote_item_sequence,10.0,3.0,1.0,,,,,,,,,,9.0,15.0,6.0,33.0,0.0,
,,,,,,tote_item_sequence,10.0,3.0,1.0,,,,,,,,,,10.0,16.0,6.0,34.0,0.0,
,,,,,,tote_item_sequence,6.0,4.0,1.0,,,,,,,,,,11.0,19.0,1.0,18.0,0.0,
,,,,,,tote_item_sequence,7.0,3.0,3.0,,,,,,,,,,20.0,34.0,5.0,20.0,1.0,
,,,,,,tote_item_sequence,2.0,1.0,4.0,,,,,,,,,,12.0,38.0,3.0,7.0,3.0,
,,,,,,tote_item_sequence,2.0,1.0,4.0,,,,,,,,,,13.0,31.0,3.0,6.0,2.0,
,,,,,,tote_item_sequence,2.0,1.0,4.0,,,,,,,,,,14.0,32.0,3.0,8.0,2.0,
,,,,,,tote_item_sequence,3.0,3.0,7.0,,,,,,,,,,31.0,37.0,5.0,10.0,0.0,
,,,,,,tote_item_sequence,3.0,3.0,7.0,,,,,,,,,,32.0,38.0,5.0,11.0,0.0,
,,,,,,tote_item_sequence,8.0,2.0,8.0,,,,,,,,,,1.0,5.0,4.0,24.0,0.0,
,,,,,,tote_item_sequence,8.0,2.0,8.0,,,,,,,,,,2.0,6.0,2.0,25.0,0.0,
,,,,,,tote_item_sequence,8.0,2.0,8.0,,,,,,,,,,3.0,7.0,4.0,23.0,0.0,
,,,,,,tote_item_sequence,9.0,1.0,8.0,,,,,,,,,,4.0,6.0,0.0,28.0,0.0,
,,,,,,tote_item_sequence,9.0,1.0,8.0,,,,,,,,,,5.0,7.0,0.0,29.0,0.0,
,,,,,,tote_item_sequence,9.0,1.0,8.0,,,,,,,,,,6.0,8.0,0.0,27.0,0.0,
,,,,,,tote_item_sequence,4.0,2.0,9.0,,,,,,,,,,28.0,32.0,0.0,14.0,0.0,
,,,,,,tote_item_sequence,4.0,2.0,9.0,,,,,,,,,,29.0,33.0,0.0,12.0,0.0,
,,,,,,tote_item_sequence,4.0,2.0,9.0,,,,,,,,,,30.0,34.0,0.0,13.0,0.0,
,,,,,,tote_item_sequence,11.0,1.0,10.0,,,,,,,,,,26.0,28.0,1.0,35.0,0.0,
,,,,,,tote_item_sequence,4.0,2.0,10.0,,,,,,,,,,27.0,31.0,5.0,15.0,0.0,
,,,,,,tote_item_sequence,5.0,2.0,11.0,,,,,,,,,,33.0,37.0,1.0,16.0,0.0,
,,,,,,tote_item_sequence,5.0,2.0,12.0,,,,,,,,,,34.0,38.0,2.0,17.0,0.0,
,,,,,,tote_item_sequence,7.0,3.0,13.0,,,,,,,,,,15.0,21.0,3.0,21.0,0.0,
,,,,,,tote_item_sequence,9.0,1.0,13.0,,,,,,,,,,16.0,26.0,5.0,26.0,1.0,
,,,,,,tote_item_sequence,9.0,1.0,13.0,,,,,,,,,,17.0,19.0,1.0,30.0,0.0,
,,,,,,tote_item_sequence,9.0,1.0,13.0,,,,,,,,,,18.0,20.0,1.0,31.0,0.0,
,,,,,,tote_item_sequence,7.0,3.0,13.0,,,,,,,,,,19.0,25.0,3.0,22.0,0.0,
,,,,,,tote_item_sequence,2.0,1.0,14.0,,,,,,,,,,35.0,37.0,2.0,5.0,0.0,
,,,,,,tote_item_sequence,2.0,1.0,14.0,,,,,,,,,,36.0,38.0,4.0,9.0,0.0,
,,,,,,belt_event,8.0,2.0,8.0,,,,,,,,,,1.0,5.0,4.0,24.0,0.0,0.0
,,,,,,belt_event,8.0,2.0,8.0,,,,,,,,,,2.0,6.0,2.0,25.0,0.0,1.0
,,,,,,belt_event,8.0,2.0,8.0,,,,,,,,,,3.0,7.0,4.0,23.0,0.0,2.0
,,,,,,belt_event,9.0,1.0,8.0,,,,,,,,,,4.0,6.0,0.0,28.0,0.0,3.0
,,,,,,belt_event,9.0,1.0,8.0,,,,,,,,,,5.0,7.0,0.0,29.0,0.0,4.0
,,,,,,belt_event,9.0,1.0,8.0,,,,,,,,,,6.0,8.0,0.0,27.0,0.0,5.0
,,,,,,belt_event,10.0,3.0,1.0,,,,,,,,,,7.0,13.0,6.0,32.0,0.0,6.0
,,,,,,belt_event,6.0,4.0,1.0,,,,,,,,,,8.0,16.0,1.0,19.0,0.0,7.0
,,,,,,belt_event,10.0,3.0,1.0,,,,,,,,,,9.0,15.0,6.0,33.0,0.0,8.0
,,,,,,belt_event,10.0,3.0,1.0,,,,,,,,,,10.0,16.0,6.0,34.0,0.0,9.0
,,,,,,belt_event,6.0,4.0,1.0,,,,,,,,,,11.0,19.0,1.0,18.0,0.0,10.0
,,,,,,belt_event,2.0,1.0,4.0,,,,,,,,,,12.0,38.0,3.0,7.0,3.0,11.0
,,,,,,belt_event,2.0,1.0,4.0,,,,,,,,,,13.0,31.0,3.0,6.0,2.0,12.0
,,,,,,belt_event,2.0,1.0,4.0,,,,,,,,,,14.0,32.0,3.0,8.0,2.0,13.0
,,,,,,belt_event,7.0,3.0,13.0,,,,,,,,,,15.0,21.0,3.0,21.0,0.0,14.0
,,,,,,belt_event,9.0,1.0,13.0,,,,,,,,,,16.0,26.0,5.0,26.0,1.0,15.0
,,,,,,belt_event,9.0,1.0,13.0,,,,,,,,,,17.0,19.0,1.0,30.0,0.0,16.0
,,,,,,belt_event,9.0,1.0,13.0,,,,,,,,,,18.0,20.0,1.0,31.0,0.0,17.0
,,,,,,belt_event,7.0,3.0,13.0,,,,,,,,,,19.0,25.0,3.0,22.0,0.0,18.0
,,,,,,belt_event,7.0,3.0,3.0,,,,,,,,,,20.0,34.0,5.0,20.0,1.0,19.0
,,,,,,belt_event,1.0,4.0,0.0,,,,,,,,,,21.0,29.0,3.0,0.0,0.0,20.0
,,,,,,belt_event,1.0,4.0,0.0,,,,,,,,,,22.0,30.0,3.0,1.0,0.0,21.0
,,,,,,belt_event,1.0,4.0,0.0,,,,,,,,,,23.0,31.0,1.0,3.0,0.0,22.0
,,,,,,belt_event,1.0,4.0,0.0,,,,,,,,,,24.0,32.0,3.0,2.0,0.0,23.0
,,,,,,belt_event,1.0,4.0,0.0,,,,,,,,,,25.0,33.0,1.0,4.0,0.0,24.0
,,,,,,belt_event,11.0,1.0,10.0,,,,,,,,,,26.0,28.0,1.0,35.0,0.0,25.0
,,,,,,belt_event,4.0,2.0,10.0,,,,,,,,,,27.0,31.0,5.0,15.0,0.0,26.0
,,,,,,belt_event,4.0,2.0,9.0,,,,,,,,,,28.0,32.0,0.0,14.0,0.0,27.0
,,,,,,belt_event,4.0,2.0,9.0,,,,,,,,,,29.0,33.0,0.0,12.0,0.0,28.0
,,,,,,belt_event,4.0,2.0,9.0,,,,,,,,,,30.0,34.0,0.0,13.0,0.0,29.0
,,,,,,belt_event,3.0,3.0,7.0,,,,,,,,,,31.0,37.0,5.0,10.0,0.0,30.0
,,,,,,belt_event,3.0,3.0,7.0,,,,,,,,,,32.0,38.0,5.0,11.0,0.0,31.0
,,,,,,belt_event,5.0,2.0,11.0,,,,,,,,,,33.0,37.0,1.0,16.0,0.0,32.0
,,,,,,belt_event,5.0,2.0,12.0,,,,,,,,,,34.0,38.0,2.0,17.0,0.0,33.0
,,,,,,belt_event,2.0,1.0,14.0,,,,,,,,,,35.0,37.0,2.0,5.0,0.0,34.0
,,,,,,belt_event,2.0,1.0,14.0,,,,,,,,,,36.0,38.0,4.0,9.0,0.0,35.0
