conv_num,shape_num,shape_name,time
1,8,moon,9.711123
1,8,moon,15.61951
1,6,pentagon,22.156066
1,5,triangle,27.614429
1,5,triangle,33.369654
1,5,triangle,38.937935
1,6,pentagon,44.990993
2,7,trapezoid,57.818904
2,6,pentagon,68.882923
3,6,pentagon,82.878859
2,4,star,94.246347
4,1,circle,95.459978
4,1,circle,106.952869
2,5,triangle,108.797863
3,6,pentagon,110.885642
4,8,moon,113.525964
2,5,triangle,114.953483
2,5,triangle,120.625675
2,7,trapezoid,125.795874
4,1,circle,132.234802
