capacity,seed,heuristic,n_orders,orders_completed,terminated_early,makespan_sec
5,100,Assignment First,11,11,0,44.0
5,100,FIFO,11,3,1,100000.0
5,100,Greedy,11,11,0,51.0
5,100,Order Driven,11,11,0,87.0
5,101,Assignment First,14,14,0,58.0
5,101,FIFO,14,5,1,100000.0
5,101,Greedy,14,3,1,100000.0
5,101,Order Driven,14,1,1,100000.0
5,102,Assignment First,11,6,1,100000.0
5,102,FIFO,11,3,1,100000.0
5,102,Greedy,11,3,1,100000.0
5,102,Order Driven,11,7,1,100000.0
5,103,Assignment First,15,2,1,100000.0
5,103,FIFO,15,15,0,65.0
5,103,Greedy,15,1,1,100000.0
5,103,Order Driven,15,4,1,100000.0
5,104,Assignment First,10,6,1,100000.0
5,104,FIFO,10,3,1,100000.0
5,104,Greedy,10,7,1,100000.0
5,104,Order Driven,10,3,1,100000.0
5,105,Assignment First,14,2,1,100000.0
5,105,FIFO,14,2,1,100000.0
5,105,Greedy,14,0,1,100000.0
5,105,Order Driven,14,3,1,100000.0
5,106,Assignment First,15,0,1,100000.0
5,106,FIFO,15,8,1,100000.0
5,106,Greedy,15,3,1,100000.0
5,106,Order Driven,15,3,1,100000.0
5,107,Assignment First,11,11,0,61.0
5,107,FIFO,11,2,1,100000.0
5,107,Greedy,11,11,0,94.0
5,107,Order Driven,11,1,1,100000.0
5,108,Assignment First,11,6,1,100000.0
5,108,FIFO,11,11,0,89.0
5,108,Greedy,11,4,1,100000.0
5,108,Order Driven,11,2,1,100000.0
5,109,Assignment First,12,6,1,100000.0
5,109,FIFO,12,2,1,100000.0
5,109,Greedy,12,8,1,100000.0
5,109,Order Driven,12,12,0,58.0
5,110,Assignment First,13,2,1,100000.0
5,110,FIFO,13,1,1,100000.0
5,110,Greedy,13,1,1,100000.0
5,110,Order Driven,13,13,0,66.0
5,111,Assignment First,11,0,1,100000.0
5,111,FIFO,11,11,0,66.0
5,111,Greedy,11,0,1,100000.0
5,111,Order Driven,11,4,1,100000.0
5,112,Assignment First,13,4,1,100000.0
5,112,FIFO,13,13,0,84.0
5,112,Greedy,13,0,1,100000.0
